nombre;tipo;asunto
Consejo Federal Español del Movimiento Europeo;Special interest organization;territory
 Red de Áreas Escasamente Pobladas de Europa ;Special interest organization;territory
Asociación Víctimas del Terrorismo;Special interest organization;victims
Federación de Asociaciones de Mujeres Separadas y Divorciadas;Special interest organization;women
Federación Estatal de Organizaciones Feministas;Special interest organization;women
Federación de Mujeres Progresistas;Special interest organization;women
Asociación de Mujeres Juristas THEMIS;Special interest organization;women
Mujeres en Igualdad;Special interest organization;women
Consejo de la Juventud de España;Special interest organization;youth
Unión de Actores;Union;culture
Sindicato de artistas líricos;Union;culture
Asociación Nacional de Profesionales de la Enseñanza ;Union;education
Sindicato de Estudiantes;Union;education
Confederación de Sindicatos de Trabajadores Enseñanza;Union;education
Confederación Estatal de Sindicatos Médicos;Union;health
Sindicato de Técnicos de Enfermería;Union;health
Sindicato de Asistentes Técnico-Sanitarios de España;Union;health
Comisiones Obreras;Union;labour
Confederación General del Trabajo;Union;labour
Confederación Sindical Independiente de Funcionarios;Union;labour
Sindicato Unificado de Policía;Union;labour
Unión general de Trabajadores;Union;labour
Unión Sindical Obrera;Union;labour
Asociación de Directores de Escena de España;Professional organization;culture
Asociación de técnicos del espectáculo;Professional organization;culture
Federación de músicos asociados;Professional organization;culture
Asociación de Músicos Profesionales de España;Professional organization;culture
Asociación Agraria de Jóvenes Agricultores;Professional organization;farmers
Uniónde Pequeños Agricultores y Ganaderos;Professional organization;farmers
Consejo General de Colegios Oficiales de Médicos;Professional organization;health
Consejo General de Colegios Oficiales de Enfermería ;Professional organization;health
Las Kellys;Professional organization;hostelry
Colegio Oficial de Ingenieros Aeronáuticos de España;Professional organization;industry
Asociación Profesional Magistratura;Professional organization;justice
Consejo General Abogacía;Professional organization;justice
Asociaciones de Trabajadores Autónomos;Professional organization;labour
Unión de profesionales y trabajadores autónomos;Professional organization;labour
Consejo General del Trabajo Social;Professional organization;social
